stream_index,sample_index,current_raw_frame_index,future_raw_frame_index,current_frame_name,future_frame_name,current_phase,future_phase,current_severity,future_severity,history_utilization_applicable,clean_prediction_error_mean,corrupted_prediction_error_mean,clean_prediction_error_mse,corrupted_prediction_error_mse,clean_prediction_error_rms,corrupted_prediction_error_rms,clean_temporal_error_input_mean,corrupted_temporal_error_input_mean,clean_temporal_error_input_rms,corrupted_temporal_error_input_rms,clean_temporal_error_state_mean,corrupted_temporal_error_state_mean,clean_temporal_error_state_rms,corrupted_temporal_error_state_rms,clean_feature_mse,corrupted_feature_mse,clean_copy_current_feature_mse,corrupted_copy_current_feature_mse,clean_current_feature_rms,corrupted_current_feature_rms,clean_history_input_rms,corrupted_history_input_rms,clean_history_to_feature_rms_ratio,corrupted_history_to_feature_rms_ratio,clean_predicted_delta_rms,corrupted_predicted_delta_rms,clean_zero_history_predicted_delta_rms,corrupted_zero_history_predicted_delta_rms,clean_history_contribution_rms,corrupted_history_contribution_rms,clean_history_contribution_to_delta_rms_ratio,corrupted_history_contribution_to_delta_rms_ratio,clean_zero_history_feature_mse,corrupted_zero_history_feature_mse,clean_history_feature_mse_change,corrupted_history_feature_mse_change,signed_excess_feature_mse,absolute_excess_feature_mse,positive_excess_feature_mse
0,159,159,160,0000000159.png,0000000160.png,baseline,baseline,0.0,0.0,False,0.006780948489904404,0.006780948489904404,0.0926172062754631,0.0926172062754631,0.3043307514456321,0.3043307514456321,0.0,0.0,0.0,0.0,0.0014036563225090504,0.0014036563225090504,0.06299646827069347,0.06299646827069347,0.0926172062754631,0.0926172062754631,0.0926172062754631,0.0926172062754631,0.6421167172222075,0.6421167172222075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0926172062754631,0.0926172062754631,0.0,0.0,0.0,0.0,0.0
1,160,160,161,0000000160.png,0000000161.png,baseline,baseline,0.0,0.0,False,-0.007125879172235727,-0.007125879172235727,0.05752689763903618,0.05752689763903618,0.23984765506261715,0.23984765506261715,0.0,0.0,0.0,0.0,-0.0003619574417825788,-0.0003619574417825788,0.06424965313876255,0.06424965313876255,0.05752689763903618,0.05752689763903618,0.05752689763903618,0.05752689763903618,0.6883178528006301,0.6883178528006301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05752689763903618,0.05752689763903618,0.0,0.0,0.0,0.0,0.0
2,161,161,162,0000000161.png,0000000162.png,baseline,baseline,0.0,0.0,False,0.00662206718698144,0.00662206718698144,0.0495016984641552,0.0495016984641552,0.22248977159446048,0.22248977159446048,0.0,0.0,0.0,0.0,0.0010837356094270945,0.0010837356094270945,0.07198474076059934,0.07198474076059934,0.0495016984641552,0.0495016984641552,0.0495016984641552,0.0495016984641552,0.653744911699205,0.653744911699205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0495016984641552,0.0495016984641552,0.0,0.0,0.0,0.0,0.0
3,162,162,163,0000000162.png,0000000163.png,baseline,baseline,0.0,0.0,False,0.006712682079523802,0.006712682079523802,0.057532086968421936,0.057532086968421936,0.23985847278847985,0.23985847278847985,0.0,0.0,0.0,0.0,0.0022489274851977825,0.0022489274851977825,0.07817513228310859,0.07817513228310859,0.057532086968421936,0.057532086968421936,0.057532086968421936,0.057532086968421936,0.6946543246578941,0.6946543246578941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057532086968421936,0.057532086968421936,0.0,0.0,0.0,0.0,0.0
4,163,163,164,0000000163.png,0000000164.png,baseline,baseline,0.0,0.0,False,0.004367766436189413,0.004367766436189413,0.07350744307041168,0.07350744307041168,0.27112256097641835,0.27112256097641835,0.0,0.0,0.0,0.0,0.002687527099624276,0.002687527099624276,0.08266917322373056,0.08266917322373056,0.07350744307041168,0.07350744307041168,0.07350744307041168,0.07350744307041168,0.7353172344893506,0.7353172344893506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07350744307041168,0.07350744307041168,0.0,0.0,0.0,0.0,0.0
5,164,164,165,0000000164.png,0000000165.png,baseline,baseline,0.0,0.0,False,-0.003262358019128442,-0.003262358019128442,0.09143027663230896,0.09143027663230896,0.30237439810987465,0.30237439810987465,0.0,0.0,0.0,0.0,0.0014559008413925767,0.0014559008413925767,0.08354063965052386,0.08354063965052386,0.09143027663230896,0.09143027663230896,0.09143027663230896,0.09143027663230896,0.751067831894896,0.751067831894896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09143027663230896,0.09143027663230896,0.0,0.0,0.0,0.0,0.0
6,165,165,166,0000000165.png,0000000166.png,baseline,baseline,0.0,0.0,False,0.0007983073592185974,0.0007983073592185974,0.08901075273752213,0.08901075273752213,0.2983466988882601,0.2983466988882601,0.0,0.0,0.0,0.0,0.001319778966717422,0.001319778966717422,0.08271794195126368,0.08271794195126368,0.08901075273752213,0.08901075273752213,0.08901075273752213,0.08901075273752213,0.737622123240744,0.737622123240744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08901075273752213,0.08901075273752213,0.0,0.0,0.0,0.0,0.0
7,166,166,167,0000000166.png,0000000167.png,baseline,baseline,0.0,0.0,False,0.007613780442625284,0.007613780442625284,0.10039177536964417,0.10039177536964417,0.31684661173767376,0.31684661173767376,0.0,0.0,0.0,0.0,0.0026226371992379427,0.0026226371992379427,0.09110755002884958,0.09110755002884958,0.10039177536964417,0.10039177536964417,0.10039177536964417,0.10039177536964417,0.7572887222953413,0.7572887222953413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10039177536964417,0.10039177536964417,0.0,0.0,0.0,0.0,0.0
8,167,167,168,0000000167.png,0000000168.png,baseline,baseline,0.0,0.0,False,0.006842521019279957,0.006842521019279957,0.08694318681955338,0.08694318681955338,0.294861300986673,0.294861300986673,0.0,0.0,0.0,0.0,0.0034961532801389694,0.0034961532801389694,0.09528024823508868,0.09528024823508868,0.08694318681955338,0.08694318681955338,0.08694318681955338,0.08694318681955338,0.8092678411530498,0.8092678411530498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08694318681955338,0.08694318681955338,0.0,0.0,0.0,0.0,0.0
9,168,168,169,0000000168.png,0000000169.png,baseline,step_change,0.0,1.0,False,-0.008150804787874222,0.01638716459274292,0.08523032069206238,0.21775124967098236,0.2919423242561146,0.46663824282947747,0.0,0.0,0.0,0.0,0.0010852328268811107,0.00616459222510457,0.08218408719834888,0.10903548867358068,0.08523032069206238,0.21775124967098236,0.08523032069206238,0.21775124967098236,0.8425830259078898,0.8425830259078898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08523032069206238,0.21775124967098236,0.0,0.0,0.13252092897891998,0.13252092897891998,0.13252092897891998
